 0D7 DAY ZID ADA ARPT, ADA, OH
 0D8 HON ZMP GETTYSBURG MUNI ARPT, GETTYSBURG, SD
 0E0 ABQ ZAB MORIARTY ARPT, MORIARTY, NM
 0E1 ABQ ZAB PRICE RANCH ARPT, MOUNT DORA, NM
 0E4         AWRS, PAYSON, AZ
 0E8 ABQ ZAB CROWNPOINT ARPT, CROWNPOINT, NM
 0E9 FOD ZAU CORYDON ARPT, CORYDON, IA
 0F2 FTW ZFW BOWIE MUNI ARPT, BOWIE, TX
 0F3 FOD ZMP SPIRIT LAKE MUNICIPAL ARPT, SPIRIT LAKE, IA
 0F4 OLU ZMP LOUP CITY MUNI ARPT, LOUP CITY, NE
 0F7 MLC ZFW FOUNTAINHEAD LODGE AIRPARK ARPT, EUFAULA, OK
 0F8 MLC ZKC WILLIAM R. POGUE MUNI ARPT, SAND SPRINGS, OK
 0F9 MLC ZFW TISHOMINGO AIRPARK ARPT, TISHOMINGO, OK
 0G0 BUF ZOB NORTH BUFFALO SUBURBAN ARPT, LOCKPORT, NY
 0G3 OLU ZMP TECUMSEH MUNICIPAL ARPT, TECUMSEH, NE
 0G4         AWRS, BOULDER, CO
 0G5 PNM ZMP GRAND MARAIS/COOK COUNTY SPB, GRAND MARAIS, MN
 0G6 CLE ZOB WILLIAMS COUNTY ARPT, BRYAN, OH
 0G7 BUF ZBW FINGER LAKES REGIONAL ARPT, SENECA FALLS, NY
 0H1 ICT ZDV TREGO WAKEENEY ARPT, WAKEENEY, KS
 0H7 COU ZKC KAHOKA MUNI ARPT, KAHOKA, MO
 0I2 HUF ZID BRAZIL CLAY COUNTY ARPT, BRAZIL, IN
 0I4 PIE     FORT DRUM RCO, FORT DRUM, FL
 0I8 LOU ZID CYNTHIANA-HARRISON COUNTY ARPT, CYNTHIANA, KY
 0J0 ANB ZJX ABBEVILLE MUNI ARPT, ABBEVILLE, AL
 0J4 ANB ZJX FLORALA MUNI ARPT, FLORALA, AL
 0J6 ANB ZJX HEADLAND MUNI ARPT, HEADLAND, AL
 0J8 GNV ZJX FLYING TEN ARPT, ARCHER, FL
 0J9 OLU ZMP FLYING V ARPT, UTICA, NE
 0K6 MLC ZKC DOBIE'S ARPT, INOLA, OK
 0K7 FOD ZMP HUMBOLDT MUNI ARPT, HUMBOLDT, IA
 0L3         ZUMA BEACH CVLN WOS, MALIBU, CA
 0L4 RNO ZOA LIDA JUNCTION ARPT, GOLDFIELD, NV
 0L5 RNO ZOA GOLDFIELD ARPT, GOLDFIELD, NV
 0L6 DRI ZHU WINN PARISH MEDICAL CENTER HELIPORT, WINNFIELD, LA
 0L7 RNO ZLA JEAN ARPT, JEAN, NV
 0L9 RNO ZLA ECHO BAY ARPT, OVERTON, NV
 0M0 JBR ZME BILLY FREE MUNICIPAL ARPT, DUMAS, AR
 0M1 MKL ZME SCOTT FIELD ARPT, PARSONS, TN
 0M2 MKL ZME REELFOOT LAKE ARPT, TIPTONVILLE, TN
 0M3 MKL ZME JOHN A BAKER FLD ARPT, HOHENWALD, TN
 0M4 MKL ZME BENTON COUNTY ARPT, CAMDEN, TN
 0M5 MKL ZME HUMPHREYS COUNTY ARPT, WAVERLY, TN
 0M8 DRI ZME BYERLEY ARPT, LAKE PROVIDENCE, LA
 0M9 DRI ZFW DELHI MUNI ARPT, DELHI, LA
 0N0 COU ZKC ROOSTERVILLE ARPT, LIBERTY, MO
 0N1         SAWRS, ABSECON BEACH, NJ
 0N4 MIV ZDC CHANDELLE ESTATES ARPT, DOVER, DE
 0N5 MIV ZDC DELDOT HELISTOP HELIPORT, DOVER, DE
 0N6 MIV ZDC HENDERSON AVIATION ARPT, FELTON, DE
 0O0 RIU ZOA SAN LUIS RESERVOIR SPB, LOS BANOS, CA
 0O2 RAL ZLA BAKER ARPT, BAKER, CA
 0O4 RIU ZOA CORNING MUNI ARPT, CORNING, CA
 0O5 RIU ZOA UNIVERSITY ARPT, DAVIS, CA
 0O6         APTOS (CABRILLO COLLEGE) SAWRS, APTOS, CA
 0O9 OAK ZSE WARD FIELD ARPT, GASQUET, CA
 0P0 IPT ZNY VALLEY FORGE BICENTENNIAL HELIPORT, NORRISTOWN, PA
 0P1 ICT ZDV VAN PAK ARPT, PRAIRIE VIEW, KS
 0P2 IPT ZDC SHOESTRING AVIATION AIRFIELD ARPT, STEWARTSTOWN, PA
 0Q3 OAK ZOA SONOMA VALLEY ARPT, SCHELLVILLE/SONOMA, CA
 0Q4 RIU ZOA SELMA ARPT, SELMA, CA
 0Q5 OAK ZOA SHELTER COVE ARPT, SHELTER COVE, CA
 0Q6 RIU ZOA SHINGLETOWN ARPT, SHINGLETOWN, CA
 0Q9 OAK ZOA SONOMA SKYPARK ARPT, SONOMA, CA
 0R0 GWO ZHU COLUMBIA-MARION COUNTY ARPT, COLUMBIA, MS
 0R1 ANB ZJX ATMORE MUNI ARPT, ATMORE, AL
 0R2 COU ZKC LINCOLN MUNI ARPT, LINCOLN, MO
 0R3 DRI ZHU ABBEVILLE CHRIS CRUSTA MEMORIAL ARPT, ABBEVILLE, LA
 0R4 DRI ZHU CONCORDIA PARISH ARPT, VIDALIA, LA
 0R5 DRI ZHU DAVID G JOYCE ARPT, WINNFIELD, LA
 0R6 JBR ZME HAMPTON MUNI ARPT, HAMPTON, AR
 0R7 DRI ZFW THE RED RIVER ARPT, COUSHATTA, LA
 0R9 ICT ZKC PLAINVILLE ARPK ARPT, PLAINVILLE, KS
 0S0 SEA ZSE LIND ARPT, LIND, WA
 0S1 GTF ZLC MEADOW CREEK USFS ARPT, MEADOW CREEK, MT
 0S2 ICT ZDV STOCKTON MUNI ARPT, STOCKTON, KS
 0S5 BOI ZSE NEZ PERCE MUNI ARPT, NEZ PERCE, ID
 0S7 SEA ZSE DOROTHY SCOTT ARPT, OROVILLE, WA
 0S9 SEA ZSE JEFFERSON COUNTY INTL ARPT, PORT TOWNSEND, WA
 0T3 STL ZME TWIN CITY AIRPARK ARPT, MARBLE HILL, MO
 0T7 FTW ZFW KITTYHAWK ARPT, ALLEN, TX
 0U0 BOI ZLC LANDMARK USFS ARPT, LANDMARK, ID
 0U1 BOI ZLC WARM SPRINGS CREEK ARPT, LOWMAN, ID
 0U2 BOI ZLC COPPER BASIN ARPT, MACKAY, ID
 0U3 BOI ZLC MAHONEY CREEK USFS ARPT, MAHONEY CREEK, ID
 0U7 BOI ZLC HOLLOW TOP ARPT, MARTIN, ID
 0U8 BOI ZLC MAY ARPT, MAY, ID
 0U9 BOI ZLC LEE WILLIAMS MEMORIAL ARPT, MIDVALE, ID
 0V2 DEN ZDV HARRIET ALEXANDER FIELD ARPT, SALIDA, CO
 0V3 OLU ZMP PIONEER VILLAGE FIELD ARPT, MINDEN, NE
 0V4 DCA ZDC BROOKNEAL/CAMPBELL COUNTY ARPT, BROOKNEAL, VA
 0V5 DCA ZDC WHITMAN STRIP ARPT, MANASSAS, VA
 0V6 HON ZDV MISSION SIOUX ARPT, MISSION, SD
 0V7 PRC ZDV KAYENTA ARPT, KAYENTA, AZ
 0VG DCA ZTL LEE COUNTY ARPT, JONESVILLE, VA
 0W0 SEA ZSE SEATTLE SEAPLANES SPB, SEATTLE, WA
 0W2         WOS, SEVIER, UT
 0W3 DCA ZDC HARFORD COUNTY ARPT, CHURCHVILLE, MD
 0W4         KENTMORR MARINA CVLN WOS, KENT ISLAND, MD
 0W7 SEA ZSE FLOATHAVEN SPB, BELLINGHAM, WA
 0W8         MARS, CHINCOTEAGUE, VA
 0Y2         MARS, STURGEON BAY, WI
 0Y4 FOD ZMP LAMBERT FECHTER MUNI ARPT, HARTLEY, IA
 0Y6 FOD ZMP LAKE MILLS MUNI ARPT, LAKE MILLS, IA
 0Z2 ENA ZAN ROAD COMMISSION NR 1 ARPT, DENALI, AK
 0Z3 DLG ZAN DILLINGHAM, AK
 0Z3 DLG ZAN SHANNONS POND SPB, DILLINGHAM, AK
 0Z3 ENA ZAN DILLINGHAM, AK
 0Z3 ENA ZAN SHANNONS POND SPB, DILLINGHAM, AK
 0Z5         CGLS/WOS, KILAUEA, HI
 10C IKK ZAU GALT FIELD ARPT, GREENWOOD/WONDER LAKE, IL
 10D PNM ZMP WINSTED MUNI ARPT, WINSTED, MN
 10F FTW ZFW ROSSER RANCH ARPT, GRAHAM, TX
 10G CLE ZID HOLMES COUNTY ARPT, MILLERSBURG, OH
 10U RNO ZLC OWYHEE ARPT, OWYHEE, NV
 10Z         GEOREF PT., MID KAUAI CHANNEL/40SE LIHUE/, HI
 11A ANB ZJX CLAYTON MUNI ARPT, CLAYTON, AL
 11G LAN ZOB JOHNSON FIELD ARPT, SMITHS CREEK, MI
 11J MCN ZJX EARLY COUNTY ARPT, BLAKELY, GA
 11K OLU ZMP STROMSBURG MUNI ARPT, STROMSBURG, NE
 11M GWO ZME FULTON-ITAWAMBA COUNTY ARPT, FULTON, MS
 11N BDR ZNY CANDLELIGHT FARMS ARPT, NEW MILFORD, CT
 11R CXO ZHU BRENHAM MUNI ARPT, BRENHAM, TX
 11S SEA ZSE SEKIU ARPT, SEKIU, WA
 11V DEN ZDV EASTON/VALLEY VIEW/ ARPT, GREELEY, CO
 12B         BOON ISLAND CGLS/WOS, NEW CASTLE, NH
 12D PNM ZMP TOWER MUNI ARPT, TOWER, MN
 12G CLE ZOB SHELBY COMMUNITY ARPT, SHELBY, OH
 12I HUF ZID BROOKVILLE RESERVOIR SPB, BROOKVILLE, IN
 12J ANB ZJX BREWTON MUNI ARPT, BREWTON, AL
 12K OLU ZMP SUPERIOR MUNI ARPT, SUPERIOR, NE
 12N MIV ZNY AEROFLEX-ANDOVER ARPT, ANDOVER, NJ
 12R CXO ZHU MIKESKA FIELD ARPT, BROOKSHIRE, TX
 12S MMV ZSE MONUMENT MUNICIPAL ARPT, MONUMENT, OR
 12T FTW ZFW FERRIS RED OAK MUNI HELIPORT, FERRIS/RED OAK, TX
 12V EKN ZID ONA AIRPARK ARPT, MILTON, WV
 12Y PNM ZMP LE SUEUR MUNI ARPT, LE SUEUR, MN
 13A         RAMOS, NOGALES, AZ
 13B         THE CUCKOLDS CGLS/WOS, NEWAGEN, ME
 13C LAN ZAU LAKEVIEW AIRPORT-GRIFFITH FIELD ARPT, LAKEVIEW, MI
 13G         NIAGARA CGS/WOS, YOUNGSTOWN, NY
 13K ICT ZKC EUREKA MUNI ARPT, EUREKA, KS
 13M LAN ZOB AERONUT PARK BALLOONPORT, HOWELL, MI
 13N MIV ZNY TRINCA ARPT, ANDOVER, NJ
 13Q ABQ ZAB JEWETT MESA ARPT, APACHE CREEK, NM
 13S ENA ZAN LAKE LOUISE SPB, LAKE LOUISE, AK
 13W SEA ZSE CAMANO ISLAND AIRFIELD ARPT, STANWOOD, WA
 13Y PNM ZMP LITTLEFORK MUNI/HANOVER ARPT, LITTLEFORK, MN
 13Z KTN ZAN LORING SPB, LORING, AK
 14A RDU ZTL LAKE NORMAN AIRPARK ARPT, MOORESVILLE, NC
 14B         GREAT DUCK ISLAND CGLS/WOS, SOUTHWEST HARBOR, ME
 14C         CGS/WOS, FRANKFORT, MI
 14F FTW ZFW HAMLIN MUNI ARPT, HAMLIN, TX
 14G CLE ZOB FREMONT ARPT, FREMONT, OH
 14I DAY ZID BLOOM ARPT, JAMESTOWN, OH
 14J ANB ZJX CARL FOLSOM ARPT, ELBA, AL
 14L HHR ZLA DEVONSHIRE AREA HELIPORT, LOS ANGELES, CA
 14M GWO ZME HOLLANDALE MUNI ARPT, HOLLANDALE, MS
 14N IPT ZNY BELTZVILLE ARPT, LEHIGHTON, PA
 14P EKN ZID BOGGS FIELD ARPT, SPENCER, WV
 14S SEA ZSE WESTPORT ARPT, WESTPORT, WA
 14Y PNM ZMP TODD FIELD ARPT, LONG PRAIRIE, MN
 15A ANB ZHU MARK REYNOLDS/NORTH MOBILE COUNTY ARPT, CREOLA, AL
 15B         HALFWAY ROCK CGLS/WOS, SOUTH PORTLAND, ME
 15C         CG BASE/WOS, MILWAUKEE, WI
 15F FTW ZFW HASKELL MUNI ARPT, HASKELL, TX
 15G CLE ZOB WELTZIEN SKYPARK ARPT, WADSWORTH, OH
 15J MCN ZJX COOK COUNTY ARPT, ADEL, GA
 15M GWO ZME IUKA ARPT, IUKA, MS
 15N MIV ZDC JENKINS ARPT, WYOMING, DE
 15S SEA ZSE LESTER STATE ULTRALIGHT, LESTER, WA
